kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,24,16,40,33,0,1,NA
Sukasari,Sukarasa,54,49,103,91,0,1,NA
Sukasari,Gegerkalong,6,5,11,9,0,NA,NA
Sukasari,Sarijadi,15,14,29,26,0,NA,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,5,5,10,10,23,10,NA
Sukajadi,Cipedes,10,15,25,24,25,17,NA
Sukajadi,Sukabungah,10,5,15,15,0,6,NA
Sukajadi,Sukagalih,9,10,19,17,11,15,NA
Sukajadi,Sukawarna,5,15,20,20,0,11,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,565,665,1230,1230,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,NA
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,NA
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,NA
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,NA
Cibeunying Kaler,Cihaurgeulis,0,0,0,0,6,26,NA
Cibeunying Kaler,Sukaluyu,0,5,5,5,0,22,NA
Cibeunying Kaler,Neglasari,45,100,145,145,3,3,NA
Cibeunying Kaler,Cigadung,79,45,124,124,0,10,NA
Astana Anyar,Karasak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Nyengseret,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Karang Anyar,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Panjunan,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Cibadak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Pelindung Hewan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kaler,Kopo,0,0,0,0,0,5,NA
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,1,0,NA
Bojongloa Kaler,Jamika,0,0,0,0,0,0,NA
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,NA
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,NA
Bojongloa Kidul,Situsaeur,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Kebon Lega,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut Kidul,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibuduyut Wetan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Mekar Wangi,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan Ciparay,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Sukahaji,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margahayu Utara,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margasuka,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Cirangrang,NA,NA,NA,NA,NA,NA,NA
Bandung Kulon,Warung Muncang,0,5,5,5,0,0,NA
Bandung Kulon,Cijerah,3,7,10,8,0,0,NA
Bandung Kulon,Cibuntu,4,9,13,10,0,0,NA
Bandung Kulon,Caringin,3,6,9,9,0,0,NA
Bandung Kulon,Cigondewah Kaler,4,11,15,13,0,0,NA
Bandung Kulon,Cigondewah Kidul,2,6,8,7,0,0,NA
Bandung Kulon,Cigondewah Rahayu,4,9,13,13,0,0,NA
Bandung Kulon,Gempolsari,0,5,5,5,0,0,NA
Regol,Pasirluyu,NA,NA,NA,NA,NA,NA,NA
Regol,Ciseureuh,NA,NA,NA,NA,31,NA,NA
Regol,Cigareleng,NA,NA,NA,NA,NA,NA,NA
