kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,11,13,0,0,0,1,NA
Sukasari,Sukarasa,17,14,19,18,0,0,NA
Sukasari,Gegerkalong,6,9,8,5,0,0,NA
Sukasari,Sarijadi,18,14,0,0,0,0,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,8,22,30,28,20,15,NA
Sukajadi,Cipedes,12,33,45,42,27,20,NA
Sukajadi,Sukabungah,8,22,30,27,30,27,NA
Sukajadi,Sukagalih,13,37,50,46,12,20,NA
Sukajadi,Sukawarna,10,30,40,37,20,17,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,1140,625,1765,1760,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,30,0,30,30,0,20,NA
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,NA
Cibeunying Kidul,Cicadas,0,50,50,50,0,20,NA
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,NA
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,NA
Cibeunying Kaler,Cihaurgeulis,30,30,60,60,2,18,NA
Cibeunying Kaler,Sukaluyu,0,60,60,60,0,27,NA
Cibeunying Kaler,Neglasari,98,0,98,97,0,5,NA
Cibeunying Kaler,Cigadung,78,46,124,124,0,25,NA
Astana Anyar,Karasak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Nyengseret,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Karang Anyar,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Panjunan,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Cibadak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Pelindung Hewan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kaler,Kopo,40,100,140,120,0,0,NA
Bojongloa Kaler,Babakan Tarogong,0,40,40,35,0,0,NA
Bojongloa Kaler,Jamika,40,30,70,62,0,0,NA
Bojongloa Kaler,Babakan Asih,0,60,60,54,0,0,NA
Bojongloa Kaler,Suka Asih,70,100,170,146,0,0,NA
Bojongloa Kidul,Situsaeur,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Kebon Lega,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut Kidul,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibuduyut Wetan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Mekar Wangi,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan Ciparay,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Sukahaji,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margahayu Utara,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margasuka,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Cirangrang,NA,NA,NA,NA,NA,NA,NA
Bandung Kulon,Warung Muncang,11,14,25,25,0,0,NA
Bandung Kulon,Cijerah,15,45,60,58,0,0,NA
Bandung Kulon,Cibuntu,19,54,73,70,0,0,NA
Bandung Kulon,Caringin,10,30,40,40,0,0,NA
Bandung Kulon,Cigondewah Kaler,11,24,35,35,0,0,NA
Bandung Kulon,Cigondewah Kidul,9,21,30,30,0,0,NA
Bandung Kulon,Cigondewah Rahayu,10,30,40,40,0,0,NA
Bandung Kulon,Gempolsari,9,26,35,30,0,0,NA
Regol,Pasirluyu,NA,NA,NA,NA,NA,5,NA
Regol,Ciseureuh,NA,NA,NA,NA,NA,7,NA
Regol,Cigareleng,NA,NA,NA,NA,NA,0,NA
Regol,Ancol,NA,NA,NA,NA,NA,0,NA
Regol,Pungkur,NA,NA,NA,NA,NA,6,NA
Regol,Ciateul,NA,NA,NA,NA,NA,9,NA
Regol,Balong Gede,52,0,52,52,NA,5,NA
Lengkong,Malabar,NA,NA,NA,NA,NA,NA,NA
Lengkong,Turangga,NA,NA,NA,NA,NA,NA,NA
Lengkong,Lingkar Selatan,NA,NA,NA,NA,NA,NA,NA
Lengkong,Cijagra,NA,NA,NA,NA,NA,NA,NA
Lengkong,Burangrang,NA,NA,NA,NA,NA,NA,NA
Lengkong,Paledang,NA,NA,NA,NA,NA,NA,NA
Lengkong,Cikawao,NA,NA,NA,NA,NA,NA,NA
Batununggal,Kebon Waru,99,101,221,221,1,10,NA
Batununggal,Kacapiring,11,1,13,11,3,55,NA
Batununggal,Gumuruh,15,39,10,8,4,95,NA
