kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,22,27,49,45,0,1,NA
Sukasari,Sukarasa,19,17,36,36,0,0,NA
Sukasari,Gegerkalong,4,3,4,4,0,0,NA
Sukasari,Sarijadi,16,21,27,25,0,0,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,8,17,25,23,23,5,NA
Sukajadi,Cipedes,10,25,35,24,25,8,NA
Sukajadi,Sukabungah,3,9,12,12,27,6,NA
Sukajadi,Sukagalih,6,15,21,20,11,10,NA
Sukajadi,Sukawarna,8,10,18,18,12,8,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,545,625,1170,1165,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,NA
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,NA
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,NA
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,NA
