kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,11,17,28,26,0,1,NA
Sukasari,Sukarasa,42,41,54,116,90,2,NA
Sukasari,Gegerkalong,12,8,9,6,0,NA,NA
Sukasari,Sarijadi,14,19,33,25,0,NA,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,4,11,15,15,0,8,NA
Sukajadi,Cipedes,7,20,27,26,0,20,NA
Sukajadi,Sukabungah,5,5,10,10,27,11,NA
Sukajadi,Sukagalih,9,20,29,27,12,16,NA
Sukajadi,Sukawarna,7,20,27,26,56,12,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,442,830,1272,1272,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,0,75,75,NA,0,0,NA
Cibeunying Kidul,Cikutra,20,0,20,NA,0,25,NA
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukamaju,0,100,100,NA,0,20,NA
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,NA
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,NA
Cibeunying Kaler,Cihaurgeulis,50,50,100,100,3,29,NA
Cibeunying Kaler,Sukaluyu,0,15,15,15,NA,31,NA
Cibeunying Kaler,Neglasari,35,15,50,50,3,15,NA
Cibeunying Kaler,Cigadung,60,41,101,101,NA,15,NA
Astana Anyar,Karasak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Nyengseret,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Karang Anyar,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Panjunan,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Cibadak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Pelindung Hewan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kaler,Kopo,20,10,30,30,0,10,NA
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,0,0,NA
Bojongloa Kaler,Jamika,0,0,0,0,0,0,NA
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,NA
