kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,27,29,52,47,0,NA,NA
Sukasari,Sukarasa,17,26,43,36,0,NA,NA
Sukasari,Gegerkalong,4,6,33,26,10,NA,NA
Sukasari,Sarijadi,24,21,45,36,0,NA,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,9,27,36,33,23,27,NA
Sukajadi,Cipedes,16,30,46,43,25,30,NA
Sukajadi,Sukabungah,15,10,25,24,27,25,NA
Sukajadi,Sukagalih,17,20,37,34,11,32,NA
Sukajadi,Sukawarna,15,20,35,33,12,28,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,845,739,1584,1580,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,NA
Cibeunying Kidul,Cikutra,10,40,50,50,0,0,NA
Cibeunying Kidul,Cicadas,0,30,30,0,0,0,NA
Cibeunying Kidul,Sukamaju,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukapada,0,0,0,0,0,0,NA
Cibeunying Kidul,Pasirlayung,0,0,0,0,0,0,NA
Cibeunying Kaler,Cihaurgeulis,50,50,100,100,0,21,NA
Cibeunying Kaler,Sukaluyu,0,0,0,0,0,30,NA
Cibeunying Kaler,Neglasari,55,44,99,90,0,10,NA
Cibeunying Kaler,Cigadung,60,35,95,95,0,34,NA
Astana Anyar,Karasak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Nyengseret,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Karang Anyar,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Panjunan,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Cibadak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Pelindung Hewan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kaler,Kopo,0,0,0,0,0,0,NA
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,0,0,NA
Bojongloa Kaler,Jamika,0,0,0,0,0,0,NA
Bojongloa Kaler,Babakan Asih,0,0,0,0,2,0,NA
Bojongloa Kaler,Suka Asih,70,0,70,60,1,0,NA
Bojongloa Kidul,Situsaeur,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Kebon Lega,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut Kidul,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibuduyut Wetan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Mekar Wangi,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan Ciparay,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Sukahaji,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margahayu Utara,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margasuka,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Cirangrang,NA,NA,NA,NA,NA,NA,NA
Bandung Kulon,Warung Muncang,9,26,35,35,0,0,NA
Bandung Kulon,Cijerah,5,15,20,18,0,0,NA
Bandung Kulon,Cibuntu,9,26,35,35,0,0,NA
Bandung Kulon,Caringin,5,15,20,20,0,0,NA
Bandung Kulon,Cigondewah Kaler,5,15,20,18,0,0,NA
Bandung Kulon,Cigondewah Kidul,5,15,20,20,0,0,NA
Bandung Kulon,Cigondewah Rahayu,5,15,20,20,0,0,NA
Bandung Kulon,Gempolsari,9,21,30,28,0,0,NA
Regol,Pasirluyu,0,0,0,0,NA,NA,NA
Regol,Ciseureuh,0,0,0,0,NA,NA,NA
Regol,Cigareleng,0,0,0,0,NA,NA,NA
Regol,Ancol,0,0,0,0,NA,NA,NA
Regol,Pungkur,55,0,55,55,NA,15,NA
Regol,Ciateul,0,0,0,0,NA,NA,NA
Regol,Balong Gede,45,60,105,105,NA,NA,NA
Lengkong,Malabar,NA,NA,NA,NA,NA,NA,NA
