kecamatan,kelurahan,pelindung,produktif,ditanam,hidup,sumur_resapan,biopori,sumber_dana
Sukasari,Isola,35,56,78,63,0,20,NA
Sukasari,Sukarasa,66,73,139,121,5,NA,NA
Sukasari,Gegerkalong,13,13,25,21,0,NA,NA
Sukasari,Sarijadi,22,32,58,36,0,NA,NA
Cidadap,Hegarmanah,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ciumbuleuit,NA,NA,NA,NA,NA,NA,NA
Cidadap,Ledeng,NA,NA,NA,NA,NA,NA,NA
Sukajadi,Pasteur,5,5,10,9,23,21,NA
Sukajadi,Cipedes,7,20,27,26,25,25,NA
Sukajadi,Sukabungah,10,5,15,15,27,25,NA
Sukajadi,Sukagalih,10,15,25,24,11,31,NA
Sukajadi,Sukawarna,13,10,23,20,12,22,NA
Cicendo,Husein Sastranegara,NA,NA,NA,NA,NA,NA,NA
Cicendo,Arjuna,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pajajaran,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pasirkaliki,NA,NA,NA,NA,NA,NA,NA
Cicendo,Pamoyanan,NA,NA,NA,NA,NA,NA,NA
Cicendo,Sukaraja,NA,NA,NA,NA,NA,NA,NA
Andir,Maleber,NA,NA,NA,NA,NA,NA,NA
Andir,Dungus Cariang,NA,NA,NA,NA,NA,NA,NA
Andir,Ciroyom,NA,NA,NA,NA,NA,NA,NA
Andir,Kebon Jeruk,NA,NA,NA,NA,NA,NA,NA
Andir,Garuda,NA,NA,NA,NA,NA,NA,NA
Andir,Campaka,NA,NA,NA,NA,NA,NA,NA
Coblong,Cipaganti,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Gede,NA,NA,NA,NA,NA,NA,NA
Coblong,Sadang Serang,NA,NA,NA,NA,NA,NA,NA
Coblong,Dago,NA,NA,NA,NA,NA,NA,NA
Coblong,Sekeloa,NA,NA,NA,NA,NA,NA,NA
Coblong,Lebak Siliwangi,2830,780,3610,3593,NA,NA,NA
Bandung Wetan,Cihapit,0,0,0,0,0,0,NA
Bandung Wetan,Taman Sari,0,0,0,0,0,0,NA
Bandung Wetan,Citarum,0,0,0,0,0,0,NA
Sumur Bandung,Braga,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Merdeka,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Kebon Pisang,NA,NA,NA,NA,NA,NA,NA
Sumur Bandung,Babakan Ciamis,NA,NA,NA,NA,NA,NA,NA
Cibeunying Kidul,Padasuka,0,0,0,0,0,0,NA
Cibeunying Kidul,Cikutra,0,0,0,0,0,0,NA
Cibeunying Kidul,Cicadas,0,0,0,0,0,0,NA
Cibeunying Kidul,Sukamaju,0,50,50,50,0,0,NA
Cibeunying Kidul,Sukapada,25,100,125,125,0,50,NA
Cibeunying Kidul,Pasirlayung,0,100,100,100,0,0,NA
Cibeunying Kaler,Cihaurgeulis,0,0,0,0,0,28,NA
Cibeunying Kaler,Sukaluyu,0,19,19,19,0,50,NA
Cibeunying Kaler,Neglasari,25,40,65,60,0,5,NA
Cibeunying Kaler,Cigadung,79,40,119,119,0,10,NA
Astana Anyar,Karasak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Nyengseret,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Karang Anyar,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Panjunan,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Cibadak,NA,NA,NA,NA,NA,NA,NA
Astana Anyar,Pelindung Hewan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kaler,Kopo,0,0,0,0,2,0,NA
Bojongloa Kaler,Babakan Tarogong,0,0,0,0,1,0,NA
Bojongloa Kaler,Jamika,0,0,0,0,7,0,NA
Bojongloa Kaler,Babakan Asih,0,0,0,0,0,0,NA
Bojongloa Kaler,Suka Asih,0,0,0,0,0,0,NA
Bojongloa Kidul,Situsaeur,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Kebon Lega,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibaduyut Kidul,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Cibuduyut Wetan,NA,NA,NA,NA,NA,NA,NA
Bojongloa Kidul,Mekar Wangi,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Babakan Ciparay,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Sukahaji,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margahayu Utara,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Margasuka,NA,NA,NA,NA,NA,NA,NA
Babakan Ciparay,Cirangrang,NA,NA,NA,NA,NA,NA,NA
Bandung Kulon,Warung Muncang,5,15,20,20,0,0,NA
Bandung Kulon,Cijerah,4,11,15,14,0,0,NA
Bandung Kulon,Cibuntu,5,12,17,17,0,0,NA
Bandung Kulon,Caringin,5,0,5,5,0,0,NA
Bandung Kulon,Cigondewah Kaler,10,0,10,10,0,0,NA
Bandung Kulon,Cigondewah Kidul,6,18,24,24,0,0,NA
Bandung Kulon,Cigondewah Rahayu,8,23,31,30,0,0,NA
Bandung Kulon,Gempolsari,0,15,15,15,0,0,NA
Regol,Pasirluyu,0,0,0,0,NA,NA,NA
Regol,Ciseureuh,100,0,100,90,NA,NA,NA
Regol,Cigareleng,0,40,40,40,NA,NA,NA
Regol,Ancol,0,44,44,44,NA,NA,NA
Regol,Pungkur,0,0,0,0,NA,NA,NA
Regol,Ciateul,0,0,0,0,NA,NA,NA
Regol,Balong Gede,70,28,98,98,NA,NA,NA
Lengkong,Malabar,NA,NA,NA,NA,NA,NA,NA
Lengkong,Turangga,NA,NA,NA,NA,NA,NA,NA
Lengkong,Lingkar Selatan,NA,NA,NA,NA,NA,NA,NA
Lengkong,Cijagra,NA,NA,NA,NA,NA,NA,NA
Lengkong,Burangrang,NA,NA,NA,NA,NA,NA,NA
Lengkong,Paledang,NA,NA,NA,NA,NA,NA,NA
Lengkong,Cikawao,NA,NA,NA,NA,NA,NA,NA
Batununggal,Kebon Waru,12,2,14,14,2,11,NA
Batununggal,Kacapiring,12,2,13,11,4,55,NA
Batununggal,Gumuruh,15,39,0,0,5,97,NA
Batununggal,Kebon Gedang,4,7,12,11,3,5,NA
Batununggal,Samoja,0,0,0,0,3,7,NA
Batununggal,Cibangkong,14,20,9,8,6,55,NA
Batununggal,Maleer,34,7,40,34,4,9,NA
Batununggal,Binong,9,1,11,10,4,68,NA
Ujungberung,Pasir Endah,NA,NA,NA,NA,NA,NA,NA
Ujungberung,Cigending,NA,NA,NA,NA,NA,NA,NA
Ujungberung,Pasir Wangi,NA,NA,NA,NA,NA,NA,NA
Ujungberung,Pasirjati,NA,NA,NA,NA,NA,NA,NA
Ujungberung,Pasanggrahan,NA,NA,NA,NA,NA,NA,NA
Kiaracondong,Sukapura,10,0,10,8,0,0,swadaya
Kiaracondong,Kebon Jayanti,44,22,66,65,0,0,NA
Kiaracondong,Babakan Surabaya,25,10,35,34,2,10,APBD
Kiaracondong,Cicaheum,14,6,20,7,1,0,NA
Kiaracondong,Babakan Sari,16,6,22,22,0,0,APBD
Kiaracondong,Kebun Kangkung,20,50,70,60,6,2,NA
Arcamanik,Sukamiskin,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Bina Harapan,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Endah,0,25,25,25,0,0,apbd
Arcamanik,Cisaranten Kulon,0,25,25,25,0,0,apbd
Cibiru,Palasari,NA,NA,NA,NA,NA,NA,NA
Cibiru,Cipadung,NA,NA,NA,NA,NA,NA,NA
Cibiru,Pasir Biru,NA,NA,NA,NA,NA,NA,NA
Cibiru,Cisurupan (+lain2),NA,NA,NA,NA,NA,NA,NA
Antapani,Antapani Kulon,NA,NA,NA,NA,NA,NA,NA
Antapani,Antapani Wetan,0,0,0,0,0,15,NA
Antapani,Antapani Tengah,0,0,0,0,0,15,NA
Antapani,Antapani Kidul,0,0,0,0,0,68,NA
Rancasari,Cipamokolan,0,0,0,0,0,58,NA
Rancasari,Derwati,109,9,118,118,9,25,NA
Rancasari,Manjahlega,50,50,100,100,2,27,NA
Rancasari,Mekar Jaya,10,42,52,49,15,64,NA
Buahbatu,Sekejati,50,50,100,96,2,45,NA
Buahbatu,Margasari,NA,NA,NA,NA,NA,NA,NA
Buahbatu,Cijaura,NA,NA,NA,NA,NA,NA,NA
Buahbatu,Jati Sari,NA,NA,NA,NA,NA,NA,NA
Bandung Kidul,Batununggal,NA,NA,NA,NA,NA,NA,NA
Bandung Kidul,Kujangsari,14,50,64,64,12,3,NA
Bandung Kidul,Mengger,15,50,65,65,4,5,NA
Bandung Kidul,Wates,10,50,60,59,10,2,NA
Gedebage,Rancabolang,12,50,62,60,2,2,NA
Gedebage,Cimencrang,NA,NA,NA,NA,NA,NA,NA
Gedebage,Cisaranten Kidul,NA,NA,NA,NA,NA,NA,NA
Gedebage,Rancanumpang,NA,NA,NA,NA,NA,NA,NA
Panyileukan,Cipadung Kidul,NA,NA,NA,NA,NA,NA,NA
Panyileukan,Mekar Mulya,17,36,53,53,4,10,NA
Panyileukan,Cipadung Wetan,0,0,0,0,0,0,NA
Panyileukan,Cipadung Kulon,15,0,15,2,0,0,NA
Cinambo,Pakemitan,0,0,0,0,0,0,NA
Cinambo,Sukamulya,NA,NA,NA,NA,NA,NA,NA
Cinambo,Cisaranten Wetan,NA,NA,NA,NA,NA,NA,NA
Cinambo,Babakan Penghulu,NA,NA,NA,NA,NA,NA,NA
Mandalajati,Jatihandap,NA,NA,NA,NA,NA,NA,NA
Mandalajati,Karang Pamulang,0,NA,NA,NA,NA,NA,NA
Mandalajati,Pasir Impun,NA,NA,NA,NA,NA,NA,NA
Mandalajati,Sindang Jaya,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
