no,bulan,wb,wrc,prc,tc,apheresis,ffp,plasma,bc,ahf,x12,x13,x14,x15
1,Januari,61,366,9316,2748,51,718,8483,594,52,NA,NA,NA,NA
2,Februari,73,843,11736,2755,47,336,11274,571,6,NA,NA,NA,NA
3,Maret,57,400,11556,2907,69,678,10715,615,2,NA,NA,NA,NA
4,April,46,-,10669,2546,61,817,9656,652,105,NA,NA,NA,NA
5,Mei,65,1162,12289,2813,61,769,11314,664,14,NA,NA,NA,NA
6,Juni,49,349,6611,2882,73,803,5807,762,212,NA,NA,NA,NA
7,Juli,74,276,10533,711,55,711,9822,760,164,NA,NA,NA,NA
8,Agustus,53,368,12639,2696,49,684,11581,649,219,NA,NA,NA,NA
9,September,38,425,9683,3166,68,654,9029,735,6,NA,NA,NA,NA
10,Oktober,50,363,11217,3055,69,804,10413,775,36,NA,NA,NA,NA
11,November,44,377,11484,2646,76,673,10627,679,67,NA,NA,NA,NA
12,Desember,28,429,8911,2716,89,519,8911,750,57,NA,NA,NA,NA
