n0,nama_ukm,alamat,jenis_usaha,tenaga_kerja,kelurahan
1,NA,Cibuntu tengah RT 05/10,Pembuatan loyang,6 orang,WARUNG MUNCANG
2,Pesona loyang,Jl. Terusan Suryani No. 20,Pembuatan cetakan kue,4 orang,WARUNG MUNCANG
3,NA,Cibuntu tengah RT 01/09,Pandai besi,4 orang,WARUNG MUNCANG
4,Ice Cream Barokah,Jl. Sukarno Hatta RT 01/008,Pembuatan horn kue,3 orang,WARUNG MUNCANG
5,NA,Cibuntu tengah RT 07/10,Pengrajin logam,6 orang,WARUNG MUNCANG
6,Mandiri Jaya Lestari,Cibuntu tengah I RT 12/06,Produksi tahu,6 orang,WARUNG MUNCANG
7,NA,Cibuntu tengah RT 07/10,Produksi tahu,6 orang,WARUNG MUNCANG
8,NA,Jl. Suryani dlm III No. 20,Produksi Dompet/tas,3 orang,WARUNG MUNCANG
9,Dera Collection,Jl. Nana Rohana DLM 20 C/82,Kaligrafi & Lukisan,3 orang,WARUNG MUNCANG
10,Fitri Collection,Cibuntu tengah II rtb 01/09,Boneka Panda,4 orang,WARUNG MUNCANG
11,Rama Sari,Jl. Suryani dlm II/ IV No. 27 RT 07/02,Produksi Kue sagon,8 orang,WARUNG MUNCANG
12,NA,Jl. Nana Rohana dlm I,Pembuatan Biola,2 orang,WARUNG MUNCANG
13,NA,Cibuntu selatan RW 07,Produksi tahu,6 orang,WARUNG MUNCANG
14,NA,JL. Sukarno Hatta RW 08,Produksi tahu,6 orang,WARUNG MUNCANG
15,NA,Cibuntu timur RW 04,Produksi tahu,5 orang,WARUNG MUNCANG
16,NA,Cibuntu timur RW 05,Produksi tahu,7 orang,WARUNG MUNCANG
17,NA,Jl. Terusan Suryani RW  06,Produksi tahu,5 orang,WARUNG MUNCANG
18,NA,Cibuntu Timur RW 03,Produksi tahu,5 orang,WARUNG MUNCANG
19,NA,Jl. Sukarno Hatta RW 09,Boneka Panda,4 orang,WARUNG MUNCANG
20,NA,Cibuntu tengah RW 09,Boneka panda,4 orang,WARUNG MUNCANG
21,NA,Cibuntu tengah RW 10,Boneka Panda,3 orang,WARUNG MUNCANG
22,NA,Cibuntu tengah RW 10,Boneka Panda,3 orang,WARUNG MUNCANG
23,NA,Cibuntu tengah RW 10,Boneka Panda,9 orang,WARUNG MUNCANG
24,NA,Cibuntu tengah RW 10,Pandai besi alat pertanian,5 orang,WARUNG MUNCANG
25,NA,Cibuntu tengah RW 10,Pandai besi alat pertanian,6 orang,WARUNG MUNCANG
26,Special,Jl. H. Alpi No. 25/80 RT 05/01,Konveksi seragam,3 orang,CIBUNTU
27,NA,Jl.. H. Anwar Gg.H. Fakih RT 01/08,Gorengan tempe,3 orang,CIBUNTU
28,NA,Jl.. H. Anwar Gg.H. Fakih RT 01/08,Spare part motor,3 orang,CIBUNTU
29,Jean's Saenko,Gg. Pesantren 06/06,Konveksi celana jean,4 orang,CIBUNTU
30,NA,Jl. Sukarno Hatta RW 07,Tamsin,8 orang,CIBUNTU
31,NA,Jl. H. Alpi RW 09,Produksi tahu,6 orang,CIBUNTU
32,NA,Hj. Alpi RT 04/01,Konveksi seragam sekolah,5 orang,CIBUNTU
33,NA,Jl. Sudirman RW 07,Tamsin,6 orang,CIBUNTU
34,NA,Gg. Adil RW 07,Pembuat knalpot,4 orang,CIBUNTU
35,Sport ware,Jl. H. Yusuf RT 07/06,Konveksi kaos olah raga,5 orang,CIBUNTU
36,NA,Jl. H. Alpi Timur No. 131/80 RT 03/02,Produksi kue kering,3 orang,CIBUNTU
37,Zahar,Jl. Anwar RT 02/08,Konveksi kaos,4 orang,CIBUNTU
38,Kurnia,Gg. Saluyu II RT 03/04,Sarung kasur,3 orang,CIJERAH
39,NA,Gg. Saluyu III RT 03/04,Makanan dan bakso sapi,3 orang,CIJERAH
40,NA,Gg. Pelita 1 RT 03/04,Produksi Timbangan,4 orang,CIJERAH
41,Mutiara Collection,Kp. Sayuran RT 07/07,Pengrajin boneka,4 orang,CIJERAH
42,NA,Kp. Sayuran RT 07/07,Pengrajin boneka,4 orang,CIJERAH
43,Buana Manunggal Jaya,Kp. Sayuran RT 07/07,Pengrajin boineka,3 orang,CIJERAH
44,Kembar,Gg. Pelita RT 04/04,Pembuatan kompor,2 orang,CIJERAH
45,D'Syila,Gg. Saluyu II/108 RT 02/04,Kasur busa,2 orang,CIJERAH
46,Biang Jaya,Gg. Saluyu II No. 110,Mebeler,4 orang,CIJERAH
47,NA,Jl. Mekarsari RT 06/04,Produksi tas sekolah,5 orang,CIJERAH
48,NA,Kp. Sayuran RT 01/07,Boneka panda,5 orang,CIJERAH
49,NA,Kp. Sayuran RT 06/07,Boneka panda,6 orang,CIJERAH
50,NA,Kp. Sayuran RT 02/09,Produksi kompor,3 orang,CIJERAH
51,Griya Tehnik,Gg. Manunggal II C,Alat tehnik,2 orang,CIJERAH
52,NA,Kp. Sayuran RT 01/07,Pengrajin boneka,4 orang,CIJERAH
53,PD. Lukman,Gg. Cibuntu barat RT 02/01,Boneka panda,4 orang,CARINGIN
54,NA,Jl. Holis RT 02/03,Pengrajin Toge,3 orang,CARINGIN
55,Alwi Collection,Jl. Beton No. 7,Pakaian jadi,5 orang,CARINGIN
56,Prada,Jl. Holis RW 01,Sgr. Seni sunda & catering,15 orang,CARINGIN
57,NA,Cibuntu barat RT 03/01,Konveksi,4 orang,CARINGIN
58,NA,Cibuntu barat RT 03/01,Bordir,3 orang,CARINGIN
59,NA,Cibuntu barat RT 07/01,Konveksi,4 orang,CARINGIN
60,NA,Cijerah II Blok XX No. 96,Produksi kerudung,4 orang,GEMPOLSARI
61,NA,Cijerah II Blok XX No. 96,Produksi kerudung,3 orang,GEMPOLSARI
62,NA,Jl. Bugenville VII No. 20,Souvenir,2 orang,GEMPOLSARI
63,NA,Jl. Bugenville VII No. 14,Produksi kue-kue,3 orang,GEMPOLSARI
64,NA,Jl. Gempol RT 03/01,Pembuatan bantal guling,5 orang,GEMPOLSARI
65,Lulu Production,Cijerah II Blok 19 No. 155,Produksi kerudung,4 orang,GEMPOLSARI
66,NA,Cigondewah kaler RT 03/12,Konveksi pakaian,3 orang,CIGONDEWAH KALER
67,NA,Cigondewah kaler No.32 RT 03/12,Konveksi kaos,3 orang,CIGONDEWAH KALER
68,NA,Jl. Cicukang No. 30 RT 03/08,Konveksi pakaian anak,4 orang,CIGONDEWAH KALER
69,NA,Jl. Batu rengat RT 03/13,Produksi tas/dompet,2 orang,CIGONDEWAH KALER
70,NA,Jl. Batu rengat RT 03/13,Produksi water bag,4 orang,CIGONDEWAH KALER
71,NA,Jl. Cicukang RT 02/08,Pembuatan kesed,2 orang,CIGONDEWAH KALER
