kecamatan,luas_km2,kepadatan_penduduk_per_km2
Bandung Kulon,646,22.045
Babakan Ciparay,745,19.744
Bojongloa Kaler,303,39.738
Bojongloa Kidul,626,13.685
Astanaanyar,289,23.817
Regol,430,18.946
Lengkong,590,12.066
Bandung Kidul,605,9.729
Buah Batu,793,11.993
Rancasari,733,10.49
Gedebage,958,3.871
Cibiru,632,11.395
Panyileukan,510,7.892
Ujung Berung,640,12.016
Cinambo,368,6.856
Arcamanik,587,11.808
Antapani,379,19.647
Mandalajati,667,9.532
Kiaracondong,612,21.564
Batununggal,503,24.041
Sumur Bandung,34,10.759
Andir,371,26.295
Cicendo,686,14.541
Bandung Wetan,339,9.181
Cibeunying Kidul,525,20.534
Cibeunying Kaler,450,15.761
Coblong,735,17.895
Sukajadi,430,25.203
Sukasari,627,13.063
Cidadap,611,9.603
