no,nama_dan_lokasi_pangkalan_ojeg,jumlah_pengemudi,titik_koordinator_pangkalan_ojeg
1,Gempol Kelurahan Cipadung Wetan,40,6.93’57’97S+107.70’65.93
2,Jl.Raya Panyileukan Kelurahan Cipadung Kidul,30,6.935780 107.712660
3,Jl. Cimencran Kelurahan Cipadung Kidul,138,NA
4,Arda Sinsa – Sindangsari Kelurahan Cipadung Kulon,35,6’55’55”-407’42”10”E
5,Pangkalan Ojeg Sukamaju Kelurahan Cipadung Kulon,20,NA
6,Ardapa – Pangaritan Kelurahan Cipadung Kulon,33,NA
7,Po – Pakuan Kelurahan Cipadung Kulon,8,NA
8,I. Panghegar- Pasar Induk Gedebage,58,6’.936342”S+107.696201”E
9,Pasar Induk Gedebage Pintu Depan,NA,NA
10,Pasar Induk Gedebage Pintu Belakang,NA,_
11,Jl.Pamekar Timur II,NA,NA
12,Jl.Pamekar Timur IX,NA,NA
13,Jl.Panyawangan II,NA,NA
14,Arda Jalan Cagak,NA,NA
15,Parapatan Gempol,NA,NA
16,Kelurahan Mekarmulya,30,NA
