jenis_penggunaan_tanah,luas_ha,x3
Akomodasi dan Rekreasi,54.11,NA
Bandar Udara,106.51,NA
Belukar/Semak,4.09,NA
Depo Minyak/Gas,16.74,NA
Fasilitas Umum Olahraga,100.15,NA
Hotel/Motel/Penginapan,64.37,NA
Industry Non Pertanian,899.93,NA
Instalasi Listrik,7.65,NA
Instalasi Telekomunikasi dan Komunikasi,0.49,NA
Jalan,1191.7,NA
Jasa Kesehatan,40.73,NA
Jasa Pelayanan Umum,42.37,NA
Jasa Pendidikan,293.37,NA
Jasa Peribadatan,18.92,NA
Kantor/Bangunan Militer,220.32,NA
Kantor/Instansi Pemeri tahan,103.95,NA
Kolam/Empang/Tebat,3.82,NA
Lembaga Keuangan /Bank,11.01,NA
Makam,152.87,NA
Pasar,33.48,NA
Perbengkelan,1.94,NA
Perdagangan Umum,696.29,NA
Pergudangan,42.49,NA
Perkantoran,204.82,NA
Permukiman,9596.47,NA
Pertanian Tanah Kering,2294.88,NA
Prasarana dan Transport,40.32,NA
SPBU,7.97,NA
Sungai,130.31,NA
Taman/Rumput,223.66,NA
Tanah Kosong,170.46,NA
Tugu,1.43,NA
