skpd,program,kegiatan,anggaran,realisasi,persentase_serapan,tahun,catatan
Kecamatan Bojongloa Kaler,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Kegiatan Fasilitasi Pemberdayaan Lingkup RW,4751644616,4613524666,97.09,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Peningkatan Infrastruktur Dan Lingkungan Hidup Tingkat Kecamatan Dan Kelurahan,2734879844,2606255606,95.3,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Fasilitasi Peningkatan Pemerintahan Umum Kecamatan Dan Kelurahan,1833835926,1811904200,98.8,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Fasilitasi Pemberdayaan Masyarakat,741689452,654845450,88.29,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan Dan Kelurahan,731662906,669216445,91.47,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Peningkatan Kualitas Penanganan Ketentraman Dan Ketertiban Tingkat Kecamatan Dan Kelurahan,648000000,560535000,86.5,2017,-
Kecamatan Bojongloa Kaler,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Kegiatan Fasilitasi Pemberdayaan Lingkup Karang Taruna,494835068,459820400,92.92,2017,-
Kecamatan Bojongloa Kaler,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Kegiatan Fasilitasi Pemberdayaan Lingkup PKK,494142966,448468750,90.76,2017,-
Kecamatan Bojongloa Kaler,Program Inovasi Pembangunan Dan Pemberdayaan Kewilayahan,Kegiatan Fasilitasi Pemberdayaan Lingkup LPM,492739418,460091798,93.37,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan Dan Kelurahan,204288943,102562350,50.2,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Peran Kecamatan Dan Kelurahan,Kegiatan Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,36637822,29946950,81.74,2017,-
Kecamatan Bojongloa Kaler,Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja Dan Keuangan,Kegiatan Penyusunan Laporan Capaian Kinerja Dan Ikhtisar Realisasi Kinerja SKPD,9721058,9300000,95.67,2017,-
