kecamatan,pra_ks,ks_i,ks_ii,x5,x6,x7
Bandung Kulon,1555,11002,6064,NA,NA,NA
Babakan Ciparay,2217,18652,9114,NA,NA,NA
Bojongloa Kaler,2118,15709,7316,NA,NA,NA
Bojongloa Kidul,1027,9796,4569,NA,NA,NA
Astanaanyar,1277,11712,3881,NA,NA,NA
R e g o l,1321,11471,3879,NA,NA,NA
Lengkong,612,7788,2477,NA,NA,NA
Bandung Kidul,1001,10576,5224,NA,NA,NA
Buah Batu,984,11744,5176,NA,NA,NA
Rancasari,948,10385,5000,NA,NA,NA
Gedebage,579,4978,3070,NA,NA,NA
Cibiru,850,9994,5785,NA,NA,NA
Panyileukan,407,5683,2835,NA,NA,NA
Ujungberung,1146,9928,5269,NA,NA,NA
Cinambo,307,3535,1773,NA,NA,NA
Arcamanik,1182,11531,6143,NA,NA,NA
Antapani,780,11417,4594,NA,NA,NA
Mandalajati,1070,10769,5171,NA,NA,NA
Kiaracondong,1863,18686,8601,NA,NA,NA
Batununggal,1670,18196,7178,NA,NA,NA
Sumur Bandung,506,5588,2222,NA,NA,NA
A n d i r,1730,13745,6419,NA,NA,NA
Cicendo,2060,12187,4314,NA,NA,NA
Bandung Wetan,570,5301,1697,NA,NA,NA
Cibeunying Kidul,1358,16548,7334,NA,NA,NA
Cibeunying Kaler,892,11145,4341,NA,NA,NA
Coblong,1211,17035,6628,NA,NA,NA
Sukajadi,1394,14245,5961,NA,NA,NA
Sukasari,913,10088,4336,NA,NA,NA
Cidadap,882,7926,3604,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
