no,lokasi,kelurahan,nama_pengelola
1,Jl. Banjirsari,Rt. 02/ Rw. 02,SUKAMISKIN
2,Jl. Sembrani,Rt. 01/ Rw. 06,SUKAMISKIN
3,Pacuan Kuda,Rt. 02/ Rw. 06,SUKAMISKIN
4,Jl. Pacuan Kuda,Rt. 07/ Rw. 08,SUKAMISKIN
5,Jl. Ters. Pasantren,Rt. 01/ Rw. 11,SUKAMISKIN
6,Jl. Ters. Pasantren,Rt. 05/ Rw. 11,SUKAMISKIN
7,Jl. Ters. Pasantren,Rt. 04/ Rw. 11,SUKAMISKIN
8,Jl. Atletik I,Rt. 03/ Rw. 13,SUKAMISKIN
9,Jl. Joging,Rt. 04/ Rw. 13,SUKAMISKIN
10,Jl. Puri ayu,Rt. 02/ Rw. 14,SUKAMISKIN
1,Jl. Pasar Sindanglaya,Rt 01/ Rw 01,CISARANTEN BINAHARAPAN
2,Jl. A.H.Nasution,Rw 03 Kantor Pusjatan,CISARANTEN BINAHARAPAN
3,Jl. Pawenang,Rt 03/ Rw 05,CISARANTEN BINAHARAPAN
4,Jl. Pawenang,Rt 02/ Rw 05,CISARANTEN BINAHARAPAN
5,Jl. Golf Raya,Rt 01/ Rw 11,CISARANTEN BINAHARAPAN
6,Jl. Golf Raya,Rt 02/ Rw 11,CISARANTEN BINAHARAPAN
7,Jl. Cicukang Rt 01/ Rw 08,CISARANTEN BINAHARAPAN,TELKOMSEL
1,Jl. Permata Bumi,Rt 05/ Rw 03,CISARANTEN KULON
2,Jl. Panca Tengah I,Rt 01/ Rw 05,CISARANTEN KULON
3,Jl. Cingised,Rt 03/ Rw 06,CISARANTEN KULON
4,Jl. Cisaranten Kulon,Rt 04/ Rw 07,CISARANTEN KULON
5,Jl. Rancakasumba,Rt 04/ Rw 07,CISARANTEN KULON
6,Jl. Sumbersari,Rt 05/ Rw. 08,CISARANTEN KULON
7,Jl. Guruminda,Rt 01/ Rw 09,CISARANTEN KULON
8,Jl. Purbasari Elok,Rt 01/ Rw 11,CISARANTEN KULON
9,Jl. Permata Taman Sari Raya,Rt 01/ Rw 11,CISARANTEN KULON
1,Jl. Ters. Cikajang,Rw 03,CISARANTEN ENDAH
2,Jl. Mama Lebe,Rt 02/ Rw 03,CISARANTEN ENDAH
3,Jl. Parakansaat,Rt 02/ Rw 11,CISARANTEN ENDAH
4,Jl. Parakansaat,Rt 02/ Rw 11,CISARANTEN ENDAH
5,Ruko Gading Regensi,Rw 08,CISARANTEN ENDAH
6,Ruko Gading Regensi,Rw 08,CISARANTEN ENDAH
