kelurahan,nama_usaha,alamat,jenis_usaha,x5
Cikawao,PITALOKA,Jl.Lengkong Besar II RW.06 Kel. Cikawao,Karpet bulu rasfur (Handmade),NA
Cikawao,EVOY PRODUCTION,Jl.Pangarang dalam IV Rt.03/09 no.15 Kel. Cikawao,Pakaian Rias,NA
Cikawao,TANCHA,Jl. Melong I Kelurahan Cikawao,TANCHA,NA
Malabar,Sindang Laris,Jl  Cipaera  29 Kel. Malabar,Goreng Tempe,NA
Malabar,Simanalagi,Jl  Cipaera  29 Kel. Malabar,Goreng Tempe,NA
Malabar,Dayak,Karees Kulon RT 05/05 Kel. Malabar,Dompet & Tas,NA
Malabar,Andreas,Karees Kulon Kel. Malabar,Bordir,NA
Malabar,Ika Dompet,Jl  Cipaera Kel. Malabar,Dompet,NA
Malabar,Kenari Bordil,Karees Kulon RT 06/05 Kel. Malabar,Bordir,NA
Malabar,Kepoh,Karees Kulon Kel. Malabar,Bordir,NA
Malabar,Riki Bordir,Karees Kulon Kel. Malabar,Bordir,NA
Malabar,Wiwit Dompet,Karees Kulon Kel. Malabar,Dompet & Tas,NA
Malabar,Kane I,Karees Kulon Kel. Malabar,Dompet & Rajutan,NA
Malabar,Kane II,Karees Kulon Kel. Malabar,Dompet & Tas-HP.,NA
Malabar,Merdeka,Jl Pelanduk Kel. Malabar,Percetakan,NA
Malabar,Abah Bordil,Karees Kulon Kel. Malabar,Bordir,NA
Malabar,Ece Bordil,Karees Kulon Kel. Malabar,Dompet,NA
Malabar,Spay,Cipaera Rt 03/3 Kel. Malabar,Tas Sekolah,NA
Malabar,Akar,Karees Kulon Kel. Malabar,Tas Sekolah,NA
Malabar,Rizki,Cipaera Rt 03/2 Kel. Malabar,Sablon,NA
Malabar,Anda Sablon,Cipaera Rt 03/2 Kel. Malabar,Sablon,NA
Malabar,Sega Bordil,Jl  Katapang Kel. Malabar,Bordil,NA
Malabar,Eno Collection,Karees Kulon RT 06/05 Kel. Malabar,Konpeksi,NA
Malabar,Citra Bordil,Karees Kulon RT 06/05 Kel. Malabar,Bordir,NA
Malabar,Bordir,Karees Kulon RT 05/05 Kel. Malabar,Bordir,NA
Malabar,Octotrek,Karees Kulon RT 05/05 Kel. Malabar,Produksi Tas,NA
Malabar,Kane By Owl,Karees Kulon Rt 01/05 Kel. Malabar,Tas & Dompet,NA
Malabar,Dadang Bordir,Karees Kulon Rt 01/05 Kel. Malabar,Kebaya-Bet-Bendera,NA
Malabar,Tali Sepatu,Karees Kulon Rt 01/05 Kel. Malabar,Tali Sepatu,NA
Malabar,Bizzard Pillow,Cipaera Selatan No.9 RT.04. RW.04 Kel. Malabar,Bantal-Karpet Bulu- Bantal Foto Printing dll,NA
Cijagra,Rangginang Putra Kembar,Jl. Cijagra III No. 42/206 B Kel. Cijagra,Rangginang,NA
Cijagra,Ayam Jago,Jl. Suryalaya Timur III Blk 25A Kel. Cijagra,Keripik singkong- sistik,NA
Cijagra,DAPUR OPOEN,Jl. Situsari I No. 3 Kel. Cijagra,Nuget sehat- keripik tempe,NA
Cijagra,NANI'S,Jl. Suryalaya Barat IV No. 19 Kel. Cijagra,Kue Lumpur,NA
Cijagra,MAMAYU & YOO DESSERT,Jl. Berlian No. 5 Kel. Cijagra,Sambal kemasan- puding,NA
Cijagra,COTTON INDUSTRIES,Jl. Mutumanikam No. 11 Kel. Cijagra,tas dari cotton dan kain goni,NA
